"y","m","d","Diadema","Ibirapuera","Maua","PDPedro","SAmaro","Pinheiros","Santana","Caetano","Itaquera","Ipen","Parelheiros","Senhora"
2005,8,5,43.875,94.75,87.625,NA,66,69.3333333333333,NA,66,NA,NA,NA,86.25
2005,8,6,50.375,114.875,101.75,NA,86.625,76.125,NA,140,NA,NA,NA,88.375
2005,8,7,50.5,103.875,68.375,NA,70.625,75.5,NA,90.625,NA,NA,NA,84.875
2005,8,8,24.5,50.125,45.4285714285714,NA,43.375,32.7142857142857,NA,56,NA,NA,NA,28.1428571428571
2005,8,9,17.4285714285714,32.8571428571429,26.2857142857143,NA,23.625,17.8571428571429,NA,35.8571428571429,NA,NA,NA,27.7142857142857
2005,8,10,19,31.625,24.5,NA,21.5,15.25,NA,43.25,NA,NA,NA,40
2005,8,11,29.25,60,53.125,NA,49.125,36.7142857142857,NA,57.875,NA,NA,NA,52.5
2005,8,12,37.375,83.375,46.375,NA,69.25,59.5714285714286,NA,56.75,NA,NA,NA,65.875
2005,8,13,46.75,110.25,50.75,NA,95.5,77.625,NA,88.5,NA,NA,NA,81.25
2005,8,14,58.75,111.25,73,NA,95.125,82.5,NA,114.375,NA,NA,NA,93.625
2005,8,15,29,75.5,44.125,NA,59.875,46.875,NA,57.625,NA,NA,NA,68.25
2005,8,16,35.125,93,51.875,NA,76.7142857142857,60.125,NA,85.625,NA,NA,NA,84.75
2005,8,17,35.25,79.5,64,62.5,68,47,NA,77.75,NA,NA,NA,60.75
2005,8,18,35.5,61.875,58.125,44.5,48.875,38.625,NA,75.5,NA,NA,NA,36.375
2005,8,19,36.875,79.875,58.625,63.75,55.875,52.25,NA,73.25,NA,NA,NA,50.75
2005,8,20,45.625,NA,62.75,85.625,79.625,83.375,NA,90.25,NA,NA,NA,73.75
2005,8,21,47.625,NA,65.25,82.625,85,81.5,NA,97.25,NA,NA,NA,78.375
2005,8,22,NA,78.25,76.375,43.5,62.5,49.75,NA,78.5,NA,NA,NA,73
2005,8,23,NA,76.375,60.75,46.25,57.625,54.5,NA,78,NA,NA,NA,76.125
2005,8,24,NA,55.875,46.125,37.5,NA,32.625,NA,57.75,NA,NA,NA,68.625
2005,8,25,NA,42,33.625,33.25,38,21.8571428571429,NA,49.8571428571429,NA,NA,NA,26.1428571428571
2005,8,26,NA,46.375,24.375,28.5,41.5,27.75,NA,45.375,NA,NA,NA,26.5
2005,8,27,NA,37.5,38.5,33.5,35,28.125,NA,49.25,NA,NA,NA,57.875
2005,8,28,NA,95.375,79.875,67.625,90.875,77,NA,105.5,NA,NA,NA,88.875
2005,8,29,NA,89.625,71.5,58.375,73.7142857142857,63.75,NA,86.75,NA,NA,NA,94
2005,8,30,NA,104.25,97.625,76.5,80.875,64.25,NA,109.375,NA,NA,NA,108.125
2005,8,31,NA,70.25,54,58.25,49.25,44.25,NA,70,NA,NA,NA,47
2005,9,1,NA,59.875,51.625,37.375,52.5,35.125,NA,61,NA,NA,NA,60.5
2005,9,2,NA,46.125,23,33.625,31,26,NA,45.875,NA,NA,NA,51.5
2005,9,3,NA,69.75,32.75,54.5,65.75,53.25,NA,64.5,NA,NA,NA,50.875
2005,9,4,NA,67.1428571428571,48.5,53.625,NA,58.75,NA,69.375,NA,NA,NA,65.875
2005,9,5,NA,63.125,44.6666666666667,42.8571428571429,NA,39.25,NA,58.375,NA,NA,NA,75.5
2005,9,6,NA,35.4285714285714,24.625,21.375,45.4285714285714,17.7142857142857,NA,38.375,NA,NA,NA,12.5714285714286
2005,9,7,NA,47,NA,29.875,52.7142857142857,29.4285714285714,NA,51.2857142857143,NA,NA,NA,26.8571428571429
2005,9,8,NA,37.1428571428571,NA,25.75,45,23.4285714285714,NA,41.4285714285714,NA,NA,NA,23.8571428571429
2005,9,9,NA,NA,47.8571428571429,46.8,74.625,51.125,NA,64.25,NA,NA,NA,52.5
2005,9,10,NA,NA,67.75,NA,80.625,63.5,NA,79.375,NA,NA,NA,72.625
2005,9,11,NA,NA,75.125,NA,89,71.625,NA,91.625,NA,NA,NA,78
2005,9,12,NA,NA,46.1428571428571,NA,63.5714285714286,43.2857142857143,NA,64.7142857142857,NA,NA,NA,37.5714285714286
2005,9,13,NA,NA,30.5714285714286,19.5,44.8571428571429,16,NA,42.7142857142857,NA,NA,NA,14.2857142857143
2005,9,14,NA,NA,26.5714285714286,13.25,39.1428571428571,15.4285714285714,NA,34.7142857142857,NA,NA,NA,10.7142857142857
2005,9,15,NA,NA,97.125,58.2,75.25,39.125,NA,87.875,NA,NA,NA,71.375
2005,9,16,NA,49,31.7142857142857,23.375,44.25,26.75,NA,46,NA,NA,NA,42
2005,9,17,NA,37,32.5714285714286,19.75,48.125,19,NA,47.5714285714286,NA,NA,NA,20
2005,9,18,NA,30.25,27,17.375,39,20.75,NA,43.5714285714286,NA,NA,NA,20.5714285714286
2005,9,19,NA,74.75,71.25,41.1428571428571,75,40.1428571428571,NA,87.5,NA,NA,NA,75.625
2005,9,20,NA,62.75,52.375,47.8571428571429,68.5,36.2857142857143,NA,69.5,NA,NA,NA,50
2005,9,21,NA,56.625,52.125,40.4285714285714,64.5,34.875,NA,58,NA,NA,NA,32.1428571428571
2005,9,22,NA,44.75,39.5,36.4285714285714,51.125,27.7142857142857,NA,49,NA,NA,NA,29.1428571428571
2005,9,23,NA,116.333333333333,77.875,80.625,115.666666666667,78.375,NA,102.125,NA,NA,NA,74.625
2005,9,24,81.375,89.875,61.875,73.875,87,63.75,NA,90.625,NA,NA,NA,74.875
